customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
ID_0,Male,0,Yes,No,55,Yes,DSL,No,No internet service,No,No,No,No,Month-to-month,Yes,Credit card,118.96972501388173,2816.0475681982193,No
ID_1,Female,0,No,No,36,Yes,No,No internet service,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,79.34103496414983,2661.0358437683317,Yes
ID_2,Male,0,Yes,No,37,Yes,No,Yes,Yes,Yes,No internet service,Yes,No internet service,Two year,No,Credit card,62.469238988854784,805.9282348436833,No
ID_3,Male,0,No,Yes,14,Yes,No,Yes,No,No,Yes,Yes,No,Two year,No,Bank transfer,65.36083650743166,2503.454389252407,No
ID_4,Male,1,No,Yes,27,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No,No,One year,No,Mailed check,87.94807765332243,7900.186845088592,No
ID_5,Female,0,Yes,Yes,31,Yes,No,Yes,No,No internet service,No,No,No,One year,Yes,Bank transfer,76.99557614762008,6587.886499961206,No
ID_6,Male,0,No,Yes,44,Yes,DSL,No,No internet service,Yes,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,98.75702365254175,6432.9425170067025,No
ID_7,Male,0,No,No,68,No,DSL,No,No,No,No,No,Yes,Two year,No,Electronic check,62.163756205301425,6762.10506686119,No
ID_8,Male,1,Yes,No,48,No,Fiber optic,Yes,No,No,Yes,No internet service,Yes,One year,Yes,Electronic check,61.732465123479926,6933.903457137767,No
ID_9,Female,0,Yes,No,57,No,No,Yes,Yes,No internet service,Yes,No,No,One year,No,Credit card,94.5965376524088,2670.3093733145192,No
ID_10,Male,0,Yes,No,22,Yes,No,No internet service,Yes,No internet service,No,No,No,One year,Yes,Bank transfer,84.55186712406628,2645.8607735921532,No
ID_11,Male,1,Yes,Yes,4,Yes,Fiber optic,No internet service,Yes,No internet service,No,No,No internet service,Two year,No,Bank transfer,97.80980330536022,2757.944671769308,No
ID_12,Male,1,No,No,46,Yes,Fiber optic,No internet service,No,Yes,No,No internet service,No internet service,Two year,No,Electronic check,108.71637244117811,6566.505292713927,No
ID_13,Male,0,Yes,Yes,59,No,No,No internet service,Yes,Yes,Yes,No internet service,Yes,Month-to-month,No,Bank transfer,46.340584450789024,6398.77280111409,Yes
ID_14,Female,0,Yes,No,34,No,No,No internet service,No internet service,No,No,No internet service,No,One year,Yes,Mailed check,51.50358712638827,233.53210482674942,No
ID_15,Male,0,Yes,No,11,No,DSL,No internet service,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Bank transfer,72.69507416384711,7598.501314465072,No
ID_16,Female,0,Yes,No,31,No,No,No,Yes,No internet service,Yes,Yes,No,One year,No,Bank transfer,113.04527908079876,2355.9710306063976,No
ID_17,Female,0,Yes,Yes,11,No,No,Yes,No internet service,Yes,No,No,No,Two year,Yes,Electronic check,103.46878998137655,5046.507256733194,No
ID_18,Female,1,No,Yes,56,No,DSL,No internet service,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Electronic check,66.84457192573473,5155.32806230969,No
ID_19,Male,1,Yes,No,38,Yes,DSL,No,Yes,No internet service,Yes,No internet service,No internet service,One year,No,Credit card,77.3118887765754,995.7349985278559,No
ID_20,Female,0,No,No,21,No,DSL,Yes,No,Yes,No,No,Yes,Two year,Yes,Electronic check,91.2310123631173,5596.420428661416,Yes
